step,loss,wall_s,tokens_per_s
1,4.295650482177734,0.453521584,13547.315534159892
2,3.463571786880493,0.009228416000000017,665769.7268957087
3,3.1175339221954346,0.007410000000000139,829149.7975708346
4,2.9640004634857178,0.012564291999999977,489004.87190205476
5,2.843597412109375,0.006877374999999741,893364.1105800151
6,2.7606799602508545,0.0070257080000004635,874502.6124056956
7,2.7049036026000977,0.00714420899999979,859997.2369229652
8,2.657592535018921,0.007125541000000624,862250.3189581622
9,2.6479032039642334,0.007976874999999772,770226.4357909802
10,2.6215760707855225,0.007352333000000044,835653.1185407357
11,2.570958137512207,0.006925999999999988,887092.1166618555
12,2.5652801990509033,0.006925582999999236,887145.5298421343
13,2.538018226623535,0.0074845420000002605,820891.912958707
14,2.527841806411743,0.007073915999999514,868542.9682795813
15,2.5377845764160156,0.006869415999998907,894399.1745442374
16,2.5467207431793213,0.007828291999999237,784845.5320778273
17,2.518018960952759,0.0070372079999998505,873073.5257505719
18,2.512429714202881,0.007213832999999781,851697.0104520282
19,2.5397872924804688,0.00783133399999869,784540.6670180364
20,2.505537271499634,0.006971374999999114,881318.2478350083
21,2.4960150718688965,0.00802658399999956,765456.3884213181
22,2.4646377563476562,0.0076454580000007155,803614.3812443186
23,2.451148271560669,0.007176499999999919,856127.638821162
24,2.4937522411346436,0.007007875000001107,876727.9667515516
25,2.4780519008636475,0.007057291999998938,870588.8887693643
26,2.4741246700286865,0.007026707999997939,874378.1583071052
27,2.485804319381714,0.006776290999997769,906690.6955445128
28,2.4625027179718018,0.006777334000002355,906551.1600871176
29,2.4455811977386475,0.006856374999998138,896100.344570078
30,2.460005760192871,0.006980500000000944,880166.1772078173
31,2.4475061893463135,0.006745417000001197,910840.6492880884
32,2.4416897296905518,0.009145875000001524,671778.2606911833
33,2.4574778079986572,0.007488249999997976,820485.4271694536
34,2.437562942504883,0.00685229200000137,896634.294043332
35,2.455620050430298,0.007280292000000799,843922.1943294755
36,2.471008539199829,0.007021749999999827,874995.5495425146
37,2.44256329536438,0.0069131250000005195,888744.2365065782
38,2.461930274963379,0.006951041000000657,883896.3832898438
39,2.4463388919830322,0.011019375000000053,557563.3826782345
40,2.446294069290161,0.014884708000000302,412772.62543543853
41,2.434851884841919,0.008114291999998358,757182.5120418693
42,2.4496829509735107,0.007900874999997143,777635.3884857338
43,2.445979595184326,0.008120167000001288,756634.6849761865
44,2.4580652713775635,0.007297125000000904,841975.4355310125
45,2.4355199337005615,0.0069823339999999234,879934.9902196125
46,2.406134843826294,0.007102624999998142,865032.2943984242
47,2.4389421939849854,0.006899042000000577,890558.4282570662
48,2.4108285903930664,0.006863917000000441,895115.7189108792
49,2.408393144607544,0.006767166999999574,907913.1636621923
50,2.3970348834991455,0.0069782499999995196,880449.9695482998
51,2.403299331665039,0.00815012500000023,753853.468505063
52,2.4176223278045654,0.007380540999999852,832459.3007477532
53,2.4015238285064697,0.008035709000004942,764587.1695946457
54,2.419057607650757,0.006973082999998326,881102.3760941144
55,2.398484945297241,0.007177958999996292,855953.6213571538
56,2.3848209381103516,0.007117458999999826,863229.4193756719
57,2.402040719985962,0.006965749999999105,882029.9321682216
58,2.4148457050323486,0.0068850420000003965,892369.2840217454
59,2.4294049739837646,0.006853417000002082,896487.1100063127
60,2.397237777709961,0.006907542000000433,889462.5613567916
61,2.3925979137420654,0.006910624999996173,889065.7502039833
62,2.4036567211151123,0.006764499999995621,908271.1212955839
63,2.384752035140991,0.00815550000000087,753356.6304946777
64,2.39300799369812,0.0070092500000029645,876555.9795980171
65,2.3830068111419678,0.006908540999994273,889333.9418561884
66,2.406938314437866,0.007391458000000739,831229.7790232165
67,2.389249563217163,0.007187375000000884,854832.2579522071
68,2.410120725631714,0.0071264580000018896,862139.3685331999
69,2.372910737991333,0.00707316700000149,868634.9410382514
70,2.394258737564087,0.006795459000002779,904133.1865879092
71,2.387401819229126,0.007059832999999571,870275.5433450583
72,2.390050172805786,0.006937833999998588,885578.9861794402
73,2.3769009113311768,0.006846500000001754,897392.8284522641
